title,url,org,body,election_news_confidence
"US services companies expand at healthy pace in August, driven by robust sales and new orders",http://feeds.foxnews.com/~r/foxnews/national/~3/fz3hZOw2VDE/,fox,"WASHINGTON –  U.S. services companies expanded at a healthy pace in August, lifted by robust consumer spending resulting from steady job gains.

The Institute for Supply Management says that its services index slipped to 59 from 60.3 in the previous month. July's reading was the highest in a decade, and any reading over 50 indicates expansion.

The index remains at a high level despite the decline and suggests that Americans have been spending freely at retail stores, hotels, restaurants and other firms that make up the index. The ISM is a trade group of purchasing managers. Its services survey covers businesses that employ 90 percent of workers.

A measure of sales and production fell one point but remained at a solid level of 63.9. A gauge of new orders also fell slightly.",0.42098071226725675
Reports: Court Throws Out Tom Brady's Four-Game Suspension Over 'Deflategate',http://www.npr.org/sections/thetwo-way/2015/09/03/437198994/reports-court-throws-out-tom-bradys-four-game-suspension-over-deflategate,npr,"A federal judge has thrown out Tom Brady's four-game suspension over his role in ""deflate-gate,"" The Associated Press and Reuters are reporting. The suspension was handed down by NFL Commissioner Roger Goodell after attorney Ted Wells found that employees of the New England Patriots deflated footballs to make them easier to grip. Goodell said Brady likely knew about the scheme. Brady appealed his decision in federal court and, today, he prevailed.",0.31277020590777999
Donald Trump hints he will sign RNC loyalty pledge,http://www.washingtonpost.com/news/post-politics/wp/2015/09/03/donald-trump-hints-he-will-sign-rnc-loyalty-pledge/,washpo,"Golf fans takes a ""selfie"" with presidential candidate Donald Trump during the final round of The Barclays at Plainfield Country Club on Sunday in Edison, N.J. (Photo by Ross Kinnaird/Getty Images) RICHMOND -- Donald Trump said Thursday morning that signing a loyalty pledge designed to block him from running for president as an independent would give him the best shot at winning the Republican primary. Asked by conservative radio show host John Fredericks if he would sign a statement that the Republican National Committee circulated to presidential candidates Wednesday, Trump said he would make a final decision after a meeting Thursday with RNC Chairman Reince Priebus. “It is possible. We’re going to have a meeting,” Trump said. Already leading in the polls, Trump said he believes his popularity would increase should he rule out a third-party bid. He even appeared to slip at one point and say point-blank that he would sign the pledge. “There are those that say you go up if you do, and I’m not doing it for that. I’m doing it for – I mean, we’re going to see what happens, we have a meeting – but certainly it would be advantageous to do it that way, and I think our best chance for victory is to do it that way. But I’m going to have to hear the chairman out,” he said. The RNC pledge is similar to statements some state parties routinely ask candidates at all levels of elected office to sign. The Virginia GOP has had a version of the pledge and plans to discuss a proposal for presidential hopefuls at a meeting later this month. The move is widely seen as an attempt to box in Trump, but Virginia GOP Chairman John Whitbeck said it is intended to motivate Republican activists. Trump said he’ll probably announce his decision Thursday at a 2 p.m. news conference. “Look, my number one thing is to win, and the best way to win is as a Republican,” he said. “The third party thing is a tough thing, it’s a tough route. And I believe that it can be done, but it’s a tougher route, it’s a riskier route. And certainly it would give Hillary, or whoever’s going to be running on the other side, a better shot, let’s face it. They would love it.” More on Donald Trump: How Ted Cruz wooed and won Donald Trump Here’s your daily Donald Trump interview, annotated The media’s love-hate relationship with Donald Trump",0.9999999273614304
"OTP CEO says banks ready to lend, weak demand a problem",http://feeds.reuters.com/~r/reuters/financialsNews/~3/AXe850KTtxA/story01.htm,reuters,"BUDAPEST, Sept 3 Hungary's bank sector could

lend some 8,000 billion forints and OTP alone could

lend 1,000 billion to the economy, but weak credit demand is a

problem, OTP chief executive and chairman Sandor Csanyi told a

conference on Thursday.

He said there was a fierce competition for both retail and

corporate clients in the sector.

""The problem is with credit demand,"" Csanyi said, adding

that a planned reduction in banks' special tax from next year

was largely offset by new payment burdens due to recent

collapses of brokerages.

Csanyi also said that he believed that the state's capital

injection into state-owned savings banks in 2013 was forbidden

state aid and was unfair.

(Reporting by Krisztina Than and Sandor Peto)",0.32748395827850996
PAI picks banks for listing of Sweden's Perstorp -sources,http://feeds.reuters.com/~r/reuters/financialsNews/~3/77JMLgtsroE/story01.htm,reuters,"STOCKHOLM/FRANKFURT, Sept 3 Private equity firm

PAI is stepping up preparations to sell Swedish chemicals firm

Perstorp to take advantage of still-buoyant corporate valuations

and has completed its line-up of advisers, several people

familiar with the transaction said.

The buyout group has picked Morgan Stanley, Nordea

and Carnegie to lead a potential stock market listing

of Perstorp, people familiar with the matter said, while it has

hired HSBC to sound out potential industrial and

private equity buyers.

Reuters reported in July that PAI was mulling a listing of

Perstorp which could take place later this year and value it at

more than 1.5 billion euros ($1.69 billion) including debt.

Perstorp makes feed additives, biodiesel and chemical

products for plastics and for coatings, including films for

shatterproof car windshields and scratch-resistant coatings for

cellphones.

One of the sources said China's Sinochem and some private

equity firms had made tentative bids. Another source said the

sales process had been put on hold since PAI had concluded a

listing would mean a higher valuation than a straight sale.

PAI and Perstorp declined to comment. The banks either

declined to comment or did not immediately respond to a request

for comment. Sinochem could not immediately be reached for

comment. The sources declined to be identified because the

details of the plans are not public.

Perstorp said last week it was looking at strategic options

together with its owners, including a listing, as it posted a 45

percent rise in second-quarter core earnings, boosted by a new

plant and an acquisition, its eighth straight quarter of profit

growth.

In the year to June 30, earnings before interest, tax,

depreciation and amortisation were 1.67 billion Swedish crowns

($198 million), excluding non-recurring items.

($1 = 0.8862 euros)

($1 = 8.4545 Swedish crowns)

(Reporting by Sven Nordenstam and Arno Schuetze. Editing by

Jane Merriman)",0.36627544917596255
"Former Clinton Aide, Who Built Private Email Server, Pleads The 5th",http://www.npr.org/sections/itsallpolitics/2015/09/03/437193853/former-clinton-aide-who-built-private-email-server-pleads-the-5th,npr,"Rep. Elijah Cummings (second from right), the ranking member of the House Select Committee on Benghazi, said it's ""certainly understandable"" that Bryan Pagliano would be advised not to appear before the committee.

J. Scott Applewhite/AP

hide caption

itoggle caption

J. Scott Applewhite/AP

Rep. Elijah Cummings (second from right), the ranking member of the House Select Committee on Benghazi, said it's ""certainly understandable"" that Bryan Pagliano would be advised not to appear before the committee.

J. Scott Applewhite/AP

A former aide to Hillary Clinton said he will invoke his fifth amendment right to remain silent and not answer questions from Congress. The aide, Bryan Pagliano, helped set up Clinton's private email server. Clinton has faced months of scrutiny for using her home server and a private email address to conduct State Department business. The Select Committee on Benghazi had asked Pagliano, a former State Department employee to field questions next week. His lawyer has declined, sending a letter to Congress citing the negative political environment. Democratic Rep. Elijah Cummings, ranking member of the committee, said it was ""certainly understandable"" that Pagliano's attorneys ""advised him to assert his Fifth Amendment rights, especially given the onslaught of wild and unsubstantiated accusations by Republican presidential candidates, Members of Congress, and others based on false leaks about the investigation."" Former Clinton State Department Chief of Staff Cheryl Mills is being interviewed by the Benghazi committee today. Another close aide to Clinton is also scheduled to meet with the committee this week and the former secretary of state said she will testify in October. The FBI is investigating the possible compromise of secrets in Clinton's emails. Her presidential campaign said it's confident her email set up was allowed at the time, though Clinton has said she wised she had used a second email account and carried a separate phone. Clinton's campaign responded that ""she has made every effort to answer questions and be as helpful as possible, and has encouraged her aides, current and former, to do the same, including Bryan Pagliano.""",0.97189453742479115
Attorney General: South Dakota woman who died in jail was closely monitored,http://feeds.foxnews.com/~r/foxnews/national/~3/1ikt0pGQCeI/,fox,"SIOUX FALLS, S.D. –  Authorities in South Dakota say a 24-year-old woman who suffered a fatal methamphetamine overdose while in custody was asked repeatedly by jail staff whether she had taken any illegal drugs.

Attorney General Marty Jackley also said Thursday that Sarah Circle Bear was moved to a holding cell for special monitoring after her cellmate requested medical attention.

Jackley's report comes after Circle Bear's family raised questions over whether the American Indian woman received adequate medical attention before her death on July 5 in Aberdeen.

Jackley says Circle Bear repeatedly denied to jail staff that she had taken any drugs. He also says she was ""more closely monitored"" after her cellmate asked for help, including checking her vital signs.",0.40229433035020717
Lions RB Ameer Abdullah: 'It's great having Joique back',http://feeds.foxnews.com/~r/foxnews/sports/~3/gqmkdrwSUP0/,fox,"There's plenty of talent in the Detroit Lions' offensive backfield, but that doesn't mean the running backs are unwilling to share the spotlight. In a blog on the team's official website, second-round rookie Ameer Abdullah celebrated Joique Bell's return from the physically unable to perform (PUP) list earlier this week.

""It's great having Joique back,"" Abdullah wrote on DetroitLions.com. ""He's like the spirit lifter in the group. He's always joking around, goofy. To have someone on the field who can calm your nerves sometimes when things may be going crazy, it's good. It's always good to have a veteran there to help you out when you need that experience. Theo [Riddick] and George [Winn] have been great, but Joique definitely has a lot of experience in this league. Getting him back has really helped us with our spirits and we have been more confident.""

The Lions have an interesting blend of ability at running back, starting with the veteran starter. Bell (5-11, 231 lbs.) is the biggest of the backs and has the most experience with over 3,000 yards from scrimmage through five NFL seasons. Abdullah looks like the team's featured back of the future, though, and Riddick will get his reps as a third-down back.

Abdullah writes that the Lions' running backs can be ""one of the best units in the league"" in his blog. The key will be to make strategic use of the diverse personnel. It'll be interesting to see how Detroit mixes up the touches between Bell, Abdullah and Riddick in 2015.

(h/t Detroit Lions)",0.33802288272089409
Haloti Ngata to play with a chip on his shoulder after trade,http://feeds.foxnews.com/~r/foxnews/sports/~3/JRVOKhMlAFs/,fox,"Detroit Lions defensive tackle Haloti Ngata walks on the practice field during NFL football training camp in Allen Park, Mich., Monday, Aug. 3, 2015. (AP Photo/Paul Sancya)

Detroit Lions defensive tackle Haloti Ngata is getting used to his new home, but he hasn't forgotten the team that dealt him away this offseason. The Baltimore Ravens traded Ngata away in the spring, leaving a little bit of a chip on the big lineman's shoulder.

""Yeah, a little bit,"" Ngata said, per Carlos Monarrez of the Detroit Free Press. ""You want to kind of show your old team they're missing out.

""But it is a business and so they had to do what they had to do and I got traded. So you've just got to look forward to the new opportunity and do the most with it that you can.""

Ngata, 31, was a force for nine years with the Ravens. He anchored one of the league's fiercest defenses at 6-foot-4 and 345 pounds, making five consecutive Pro Bowls from 2009-2013. A former first-round draft pick (2006, 12th overall), Ngata has started 133 of a possible 144 games and collected 25.5 sacks along the way.

This week, Ngata returned to the practice field after spending most of the summer on the non-football injury (NFI) list with a hamstring injury. Although he is entering the twilight of his career, there may be just enough fuel in the tank to make Baltimore regret the decision to trade him.

(h/t Detroit Free Press)",0.39728911173814341
Arsenal striker Danny Welbeck has surgery on left knee,http://feeds.foxnews.com/~r/foxnews/sports/~3/mMlH1jjsPU0/,fox,"LONDON (AP) Arsenal says striker Danny Welbeck will be ''out for a period of months'' after having surgery on his left knee.

The 24-year-old Welbeck picked up the injury at the end of April following a goalless draw at home against Chelsea. He missed the remainder of the campaign and has not played since the start of the new season.

Arsenal says ''it had been hoped he would avoid surgery but after increasing his training workload, the injury to his cartilage did not respond as well as hoped and the decision was taken last week for him to undergo surgery by a leading specialist in the field.''

Arsenal has taken seven points from its opening four matches and is five points behind league leader Manchester City.",0.32327961802958149
