body,byline,description,title,url,topics,people,org,election_confidence,authors,date_written,orgs,article_id,date_access
"NEW YORK The Bill, Hillary & Chelsea Clinton Foundation's flagship health project changed its mind again on Wednesday on the matter of its erroneous tax returns, saying it would refile them with the U.S. Internal Revenue Service after all.
The Clinton Health Access Initiative (CHAI) said the decision to refile its 2012 and 2013 returns was in response to ""recent media interest."" 
Its brief statement made no mention of Republican criticism earlier in the week, when CHAI said it had decided against refiling the returns, known as form 990s. That, in turn, was a switch from the spring, when it said it would refile them after Reuters discovered it had misreported funding sources by millions of dollars.
""As previously stated, the minor errors on the 2012 and 2013 CHAI 990s are immaterial and do not require refiling, yet in response to recent media interest in the forms, CHAI has decided to refile the returns in order to be fully transparent,"" CHAI spokeswoman Maura Daley said in the statement.
With Hillary Clinton viewed as the favorite to become the Democratic nominee in the November, 2016, presidential election, Republicans have attacked her family's globe-straddling charities. 
The charities have received millions of dollars of funding from foreign governments for their work on health and environmental projects. Republicans and other critics say this is an insoluble conflict of interest for a would-be U.S. president. CHAI is best known for helping reduce the cost of HIV drugs in the developing world.
Clinton has said her family's charities do worthy work and disclose more information about the donors than the law requires, mitigating that concern. 
But she has not addressed the charities' admission to Reuters earlier this year that they did not comply with an ethics agreement Clinton signed with Barack Obama's incoming presidential administration in 2008 in order for her to become secretary of state. That agreement required the names of every donor be published annually, with the State Department ethicists screening new funding from foreign governments. The charities did not do this or did so incompletely, citing ""oversights"".
On Tuesday, Reince Priebus, the Republican National Committee's chairman, sent a letter calling on the IRS to audit CHAI and to compel the charity to amend the errors. On Wednesday, he responded to CHAI's decision to refile by saying an audit remained the only way to ensure all foreign government funding had been accounted for.
""CHAI has failed to comply with federal tax rules or the ethics agreement the Clintons negotiated with the Obama Administration,"" he said in a statement, ""and re-filing erroneous returns seven months after the fact amid political pressure is hardly a show of good faith.""
The IRS is barred by law from discussing specific cases. Spokesmen for Hillary Clinton did not respond to questions about the charities.
CHAI says the total amount of donations was correctly reported to the IRS in 2012 and 2013, but that the breakdown for how much came from government sources compared to non-government donors was incorrect. 
Charities do not pay taxes on their donations, but must complete tax returns and make them public to demonstrate compliance with assurances made to get tax-exempt status.

 (Reporting by Jonathan Allen; Editing by David Gregorio)",,"NEW YORK (Reuters) - The Bill, Hillary & Chelsea Clinton Foundation's flagship health project changed its mind again on Wednesday on the matter of its erroneous tax returns, saying it would refile them with the U.S. Internal Revenue Service after all.","Clinton charity, under pressure, will amend tax return errors",http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/0LcHFqAfvV4/story01.htm,[u'foreign policy/national security'],"[u'Jonathan Allen', u'Hillary Clinton', u'Reince Priebus', u'Barack Obama', u'David Gregorio', u'Maura Daley']",reuters,0.6830422046995313,"[{u'author_id': 33427, u'fullname': u'jonathan allen', u'primary_org': u'reuters'}]",2015-11-04 17:30:57,"[u'State Department', u'CHAI', u'Clinton Health Access Initiative', u'Clintons', u'Republican National Committee', u'Chelsea Clinton Foundation', u'IRS']",fd52dd2e7df0ee62057e35c2c69ca3f5,2015-11-04 17:52:01.371402
"WASHINGTON Democratic presidential contender Bernie Sanders on Wednesday unveiled a climate-change bill that would crack down on fossil fuel extraction, a move sure to please activists who want party front-runner Hillary Clinton to make the same commitment.
Sanders, a U.S. senator from Vermont, wants to halt new leases for fossil fuel extraction on public lands and for offshore drilling in the Pacific and Gulf of Mexico. He would prohibit drilling in the Arctic and Atlantic Ocean.
Sanders pushed for the proposal at a rally at the U.S. Capitol on Wednesday, alongside environmental leaders such as Bill McKibben, co-founder of the grassroots climate group 350.org.
The bill, which Sanders introduced with a fellow Democrat, U.S. Senator Jeff Merkley of Oregon, will face fierce opposition in the Republican-controlled U.S. Congress and is unlikely to become law. 
But it should help Sanders appeal to environmental activists and could pressure Clinton, who has said that abruptly halting extraction on federal lands would disrupt the U.S. economy.
""You can't talk the talk...and at the same time say we are going to extract,"" Sanders said on Wednesday, adding that the U.S. must protect workers as it moves away from fossil fuels.
Sanders, who calls himself a democratic socialist, has been Clinton's main rival to be the party's nominee for president in the November 2016 elections. 
His liberal stances on the environment, trade and more have pressured Clinton to move to the left on those issues. Still, polls have shown the former U.S. secretary of state appeared to gain ground against Sanders after a strong showing in October.
Climate activists want Clinton to commit to be tougher on environmental issues if she is elected president. 
Clinton told an activist at a New Hampshire town hall in July that it would be irresponsible to abruptly halt oil, natural gas and coal extraction on federal lands. She instead called for phasing it out and increasing fees on companies operating on public lands.
""We still have to run our economy, we still have to turn on the lights,"" Clinton said.
Clinton in August opposed Arctic oil exploration, putting her at odds with the Obama administration, which had just given Royal Dutch Shell PLC final approval to resume drilling off the coast of northern Alaska.

For more on the 2016 U.S. presidential race and to learn about the undecided voters who determine elections, visit the Reuters website. (reut.rs/1kmN5Gw) 

 (Reporting by Amanda Becker; Editing by Emily Stephenson and David Gregorio)",,"WASHINGTON (Reuters) - Democratic presidential contender Bernie Sanders on Wednesday unveiled a climate-change bill that would crack down on fossil fuel extraction, a move sure to please activists who want party front-runner Hillary Clinton to make the same commitment.",U.S. presidential hopeful Sanders unveils climate change bill,http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/b5RHqYJksBY/story01.htm,[u'environment/energy'],"[u'Jeff Merkley', u'Emily Stephenson', u'Hillary Clinton', u'David Gregorio', u'Bernie Sanders', u'Amanda Becker']",reuters,0.6848238536440138,"[{u'author_id': 33388, u'fullname': u'amanda becker', u'primary_org': u'reuters'}]",2015-11-04 17:52:12,[u'U.S. Capitol'],cccbd1547104592e366a249908a8e55f,2015-11-04 18:03:31.702770
"Washington (CNN)Donald Trump has officially filed for New Hampshire's first-in-the-nation primary -- and he took more shots at Marco Rubio's personal finances while he was at it. 
Trump, a Republican front-runner, and former Maryland Gov. Martin O'Malley, a Democratic long-shot, were the first two candidates to file for a primary expected to be slated for February 9, submitting their paperwork Wednesday. 
The real estate mogul used his appearance at the New Hampshire statehouse to bash one of his chief rivals: Rubio, the Florida senator who has surged in the polls on the heels of strong debate performances and is due to file in the state on Thursday. 
RELATED: Marco Rubio dismisses questions about his finances
Trump pointed to Rubio's use of a Florida GOP credit card during his tenure as the state's House speaker, as well as Rubio's personal finances, which were also the subject of a New York Times article in June.
""Marco Rubio has a disaster on his finances -- he has a disaster on his credit cards,"" Trump said. 
""When you check his credit cards, take a look at what he has done with the Republican Party when he had access, what he had to put back in, and whether or not something should have happened,"" he said. ""You'll understand it. Marco Rubio has a basic disaster on finance."" 
RELATED: Live from New York, it's Donald Trump!
Rubio defended his credit card use Wednesday on ABC's ""Good Morning America,"" saying it was a charge card -- with its balance paid off each month -- and that he paid for his own expenses.
And later on Fox News, Rubio pointed out that his use of the card was also the subject of attacks in his 2010 Senate race against Charlie Crist. 
""I was secured under my personal credit and it was in conjunction with the Republican Party, and every month, I would go through the bills and if there was something on there, I'd pay it to American Express, and if it was the party's, the party paid for it,"" Rubio said. ""And the media convoluted all of this and it creates these stories.""
Trump's trip to Concord was a symbolic nod to the state's importance in the presidential nominating process. 
RELATED: With New Hampshire filing opening Wednesday, Bill Gardner is ready
Anyone can run in the state's primary -- as long as they have $1,000 plus the necessary paperwork. New Hampshire Secretary of State Bill Gardner, in office since 1976, has tentatively set February 9 as the state's election date but is waiting to be sure no other states will move their primaries earlier to challenge the Granite State's prominence. 
CNN's Cassie Spodak contributed to this report.",,,Donald Trump files for New Hampshire primary,http://www.cnn.com/2015/11/04/politics/donald-trump-files-new-hampshire-primary/index.html,"[u'personality', u'campaign_finance', u'foreign policy/national security', u'immigration']","[u'Donald Trump', u'Marco Rubio', u'Charlie Crist', u""Martin O'Malley"", u'Cassie Spodak']",cnn,0.9448212254341237,"[{u'author_id': 2529, u'fullname': u'eric bradner', u'primary_org': u'cnn'}]",2015-11-04 18:03:30,"[u'Senate', u'Republican Party', u'Florida GOP']",9fd655047eac65cb8a17292c8ae296ae,2015-11-04 18:16:44.920192
"Washington (CNN)Donald Trump and Ben Carson continue to dominate the GOP presidential field, according to a new national poll. 
About half of those surveyed supported either Trump or Carson, with Trump earning 26% support and the prominent neurosurgeon 23%, according to a Fox News survey released Wednesday. 
Sens. Marco Rubio and Ted Cruz each earned 11% support, followed by former Florida Gov. Jeb Bush, former Arkansas Gov. Mike Huckabee, Ohio Gov. John Kasich and Kentucky Sen. Rand Paul each with 4% support. Former tech CEO Carly Fiorina garnered 3% and New Jersey Gov. Chris Christie just 2%.
The last batch of public polling has shown similar groupings, with Carson and Trump dominating the rest of the Republican field. The Fox poll is also the second straight survey that Bush, a former front-runner, with only 4% support.
The entire Fox survey was fielded November 1-3, after the last CNBC debate, where Rubio and Cruz impressed. The poll surveyed 476 registered Republican voters has a margin of error of plus or minus 4.5 percentage points.
 
",,"Donald Trump and Ben Carson continue to dominate the GOP presidential field, according to a new national poll.","Poll: Trump, Carson in lead",http://www.cnn.com/2015/11/04/politics/donald-trump-ben-carson-gop-poll/index.html,[u'personality'],"[u'Rand Paul', u'Chris Christie', u'Jeb Bush', u'John Kasich', u'Donald Trump', u'Marco Rubio', u'Mike Huckabee', u'Carly Fiorina', u'Ben Carson', u'Ted Cruz']",cnn,0.9917738647644561,"[{u'author_id': 23575, u'fullname': u'theodore schleifer', u'primary_org': u'cnn'}]",2015-11-04 23:59:03,[u'GOP'],d0d0b08e68059aa702f0c1607851032b,2015-11-05 00:19:35.708845
" (AP) â Republican Jeb Bush's campaign revival tour is getting louder and more colorful as he charges across early voting states with a can-do slogan, a tour bus and critiques of rivals who have become threats to his claim as the GOP mainstream favorite.
""We're Americans, dammit!"" he shouted Wednesday at a pharmacy in Hollis, N.H., as he complained that the U.S. was not leading in key foreign policy disputes.
He saved special words for Donald Trump, the former reality show star who remains a leader in the unpredictable GOP nomination fight.
""A president can't say 'You're fired,' and go to commercial break,"" Bush told more than 100 people at a senior center in Raymond, New Hampshire, Tuesday night. ""A president has to roll up their damn sleeves and get to work.""
A night earlier, his voice showed signs of strain as he railed against what he called anemic economic growth.
""That means more people stuck in poverty. That means one in five children on food stamps,"" Bush said, raising his voice during an event Tuesday in Rye, N.H. ""That's the new normal. I hope you agree with this: we need to reject that out of hand. And we can do it.""
The volume and feeling reflect the urgency of Bush's drive to push his campaign into a winning position ahead of the first votes of the GOP nomination fight in Feb. Once seen as the probable favorite, Bush's viability has never really thrived in the face of unexpectedly strong support from outsiders Trump and retired neurosurgeon Ben Carson, who are leading the pack. Also a thorn for Bush: Marco Rubio, his onetime protege, who has approached the dynamics as an opportunity to win over the GOP establishment turned off by Trump and Carson.
Bush took a more restrained tone on Rubio, with whom he'd clashed in last week's debate.
""He hasn't changed the culture in Washington,"" Bush told reporters aboard his campaign bus. He refused to answer questions on Rubio's personal spending habits, which had had come up during last week's debate.
""It's not my job to worry about that,"" Bush said.
Priority No. 1 for Bush, acknowledged even by him, is injecting some life into his campaign. That has meant a new motto â ""Jeb Can Fix It âa heavier travel schedule to early voting states and more attention-grabbing performances. After New Hampshire this week, he'll tour South Carolina.
Traveling in a blue tour bus with the slogan plastered on its side, Bush stopped Wednesday at a Manchester area school in the morning, the pharmacy in Hollis later and was headlining a law enforcement and drug abuse roundtable in Goffstown in the early afternoon. He was headed north to the lake country for two events later in the day. Bush plans to wrap up the three-day visit Thursday.
During a Republican debate in Colorado last week, Bush criticized Rubio for missing Senate action as he campaigns for president. Bush joked that the Senate's schedule was hardly demanding by suggesting it was akin to ""a French workweek.""
Traveling with reporters in New Hampshire on Tuesday, Bush joked that comparing the French to Congress was really unfair to the French. ""I really did a disservice to the French,"" he said, according to multiple press reports.",,"MANCHESTER, N.H. (AP) — Republican Jeb Bush's campaign revival tour is getting louder and more colorful as he charges across early voting states with a can-do slogan, a tour bus and critiques of rivals who have become threats to his claim as the GOP mainstream favorite.","Bush gets louder, more colorful in campaign revamp",http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2015-11-04-US--GOP%202016-Bush/id-671e7088b1d445ee84ad5bd4fb025d07,[u'foreign policy/national security'],"[u'Donald Trump', u'Marco Rubio', u'Ben Carson']",ap,0.8895930388077579,"[{u'author_id': 39689, u'fullname': u'thomas beaumont', u'primary_org': u'ap'}]",2015-11-04 20:51:21,"[u'Senate', u'GOP', u'Congress']",d62b74a7426a8248ff0e5e1a5ff201b5,2015-11-04 21:00:06.041389
"



i




            At a campaign event Tuesday in Rye, N.H., Jeb Bush seemed relaxed, confident, substantive — even enjoying himself.
            
            
                
                Steven Senne/AP
                
            
hide caption


itoggle caption

        
        Steven Senne/AP
        
    








At a campaign event Tuesday in Rye, N.H., Jeb Bush seemed relaxed, confident, substantive — even enjoying himself.

            
            Steven Senne/AP
            
        



It is hard to overstate the importance of New Hampshire for the presidential hopes of Jeb Bush. He entered the year as the clear frontrunner. Now, after months of unfocused answers in interviews, unimpressive performances in the three GOP debates, and a general lack of enthusiasm on the campaign trail, he's in the middle of the pack in polls and stunned to be looking up at the likes of Donald Trump and Ben Carson. And with the New Hampshire primary barely three months away, he arrives in the state knowing that it's his best chance to re-establish his credibility and get his campaign back on track. Unlike other moments in recent weeks and months when Bush needed to demonstrate to voters and his donors, that he wants to be president and is ready to fight for the nomination, Tuesday was marked by a Jeb Bush who seemed relaxed, confident, substantive — even enjoying himself. At an informal town hall and BBQ in the small town of Rye, near the coast, more than 200 people packed a barn where Bush spoke. Some climbed a ladder to the upper loft to get a better view of the speech. 
Rye, NH. Locals hit the loft in a barn at JebBush appearance. @NPRpolitics pic.twitter.com/nhROMuXyWi— Don Gonyea NPR (@DonGonyea) November 3, 2015



Bush laughed out loud when a man asked his question in a raspy voice, explaining the he's allergic to leaves, a problem in the otherwise gorgeous Fall season in New England. A couple hours later, some 30 minutes away at a town hall at a senior citizen center in Raymond there were some clear signs of a campaign looking to get back on track. When an audience member complimented Bush's father, President George H.W. Bush, the candidate remarked ""If I could have all of the people that love my dad and I could have half of the people who don't like me, I'd probably come out ahead on that pretty good."" He described his opponents in the race not by name, but as ""the big personalities on the stage"" who ""think they have it all figured out"" when it comes to the nation's problems. He said our politics are a mirror image of our culture, before adding ""It's a circus mirror, okay."" He said that the nation can again have an approach to politics where people who disagree can work together to build consensus. 

It's a circus mirror, okay.


Jeb Bush, on politics being a mirror image of culture


One of those ""big personalities"" is Donald Trump, of course, who belittles Bush as ""low energy"" or as someone who falls asleep at the microphone. At the Raymond event, 66-year-old retiree Richard Caron stood up and asked about entitlements, and punctuated his question with a cheeky ""by the way, good energy tonight."" The crowd — and Bush — laughed, before the candidate retorted that he actually has good energy every night. For the record, Caron said his line was a joke. He doesn't think Bush's performance in debates and on the trail has been low energy.
",,"With the New Hampshire primary barely three months away, he arrives in the state knowing that it's his best chance to re-establish his credibility and get his campaign back on track.","Amid Flat Campaign, 'Good Energy' Jeb Surfaces In New Hampshire",http://www.npr.org/2015/11/04/454575924/amid-flat-campaign-good-energy-jeb-surfaces-in-new-hampshire,"[u'personality', u'foreign policy/national security']","[u'Steven Senne', u'Donald Trump', u'Jeb Bush', u'Ben Carson']",npr,0.9917086447209073,"[{u'author_id': 10, u'fullname': u'don gonyea', u'primary_org': u'npr'}]",2015-11-04 16:58:00,[u'GOP'],3e9409fbf48bf4427cd826bfe9b50bf5,2015-11-04 17:00:58.325097
"
Jeb Bush is betting a lot on New Hampshire, so he's spending three days on a bus tour of the state as he tries jumpstarting his campaign. Bush has been battling his protégé, Sen. Marco Rubio, in the campaign lately. Rubio has surpassed Bush in many polls and is starting his own campaign tour in New Hampshire this week.
",,"Jeb Bush is betting a lot on New Hampshire, so he's spending three days on a bus tour of the state as he tries jumpstarting his campaign. Bush has been battling his protégé, Sen. Marco Rubio, in the campaign lately. Rubio has surpassed Bush in many polls and is starting his own campaign tour in New Hampshire this week.","Florida Rivals Jeb Bush, Marco Rubio Begin Tours Through New Hampshire",http://www.npr.org/2015/11/04/454692318/florida-rivals-jeb-bush-marco-rubio-begin-tours-through-new-hampshire,"[u'immigration', u'foreign policy/national security', u'economy']","[u'Marco Rubio', u'Jeb Bush']",npr,0.8863259195400164,"[{u'author_id': 10, u'fullname': u'don gonyea', u'primary_org': u'npr'}]",2015-11-04 21:19:18,[],8c855d8b3366feb5e9df5705fb0ba725,2015-11-04 21:32:41.847482
"



i




            Billionaire Paul Singer has endorsed Sen. Marco Rubio, R-Fla., for President. He's well-respected among Republican donor circles.
            
            
                
                Thos Robinson/Getty Images
                
            
hide caption


itoggle caption

        
        Thos Robinson/Getty Images
        
    








Billionaire Paul Singer has endorsed Sen. Marco Rubio, R-Fla., for President. He's well-respected among Republican donor circles.

            
            Thos Robinson/Getty Images
            
        



No political consultant could write an ad as glowing as billionaire Paul Singer's email for Republican presidential candidate Marco Rubio. ""He is ready to be an informed and assertive decision-maker,"" Singer wrote in the email, which was first published by the New York Times. He went on for nearly two pages about Rubio: ""his youth and vigor.... his unmatched ability to articulate a public argument.... the best explainer of conservatism in public life today."" What makes Singer's email noteworthy is its author. Singer was the Republicans' top individual donor in the 2014 elections, giving $11.5 million, based on federal data compiled by the Center for Responsive Politics. A cornerstone of Wall Street conservatism, he founded the cautious and successful hedge fund Elliott Management Corp. So far this year, the Federal Election Commission has logged $3.4 million in Singer money. He's given to dozens of congressional campaigns, plus $250,000 to Future 45, a new anti-Clinton superPAC, and another $250,000 to the opposition-research superPAC America Rising. Most notably, Singer this year has sent more than $1 million to American Unity PAC, which he established three years ago as a pioneering voice among conservatives for LBGT rights. But there's something he hasn't done, nor have many other top donors. He hasn't started pumping money into the superPAC of a chosen presidential contender. Now, however, the crowded field of candidates has begun to thin out, and the Iowa caucuses are less than three months away. Singer's endorsement of Rubio may mark the awakening of the upper-echelon donor class. ""Paul Singer is a real opinion leader,"" said Darrell West of the Brookings Institution, author of the book Billionaires. ""He's someone with lots of political experience. People respect him within Republican circles. He's been very active."" And he has that email list, reaching others in the Republican establishment. Singer declined to comment for this story. But his move isn't a complete surprise. Last April he gave Rubio's campaign committee $2,700, the legal limit for the primaries. Other top donors from the 2014 cycle have also given small sums to presidential candidates. Marlene Ricketts, wife of Joe Ricketts, founder of AmeriTrade, gave $4.9 millon to a superPAC for Scott Walker, who has since withdrawn. Casino magnate Sheldon Adelson and his wife Miriam have written checks to Lindsey Graham and Rubio, plus an earlier PAC for Rubio – just over $20,000 in all. Their totals from the last presidential race, in 2012, give a hint of what might come: The Adelsons gave $93 million, mainly to the superPAC backing Newt Gingrich's White House bid, according to the Center for Responsive Politics. Joe and Marlene Ricketts gave $13 million. Singer's more cautious giving totaled $3.7 million.
",,"Billionaire Paul Signer, who spent $11.5 million in 2014, has endorsed Rubio. So far he's only spent $3.4 million this year, and lots of other prominent donors have yet to dig deep in their pockets.","Rubio Reeled In A Big Catch From The Donor Pool, But Many Are Still Swimming",http://www.npr.org/2015/11/04/454612570/rubio-reeled-in-a-big-catch-from-the-donor-pool-but-many-are-still-swimming,[u'campaign_finance'],"[u'Paul Singer', u'Lindsey Graham', u'Sheldon Adelson', u'Marlene Ricketts', u'Marco Rubio', u'Darrell West', u'Newt Gingrich', u'Scott Walker', u'Joe Ricketts']",npr,0.9836154207988956,"[{u'author_id': 1985, u'fullname': u'peter overby', u'primary_org': u'npr'}]",2015-11-05 00:12:26,"[u'Federal Election Commission', u'Brookings Institution', u'Singer', u'superPAC', u'Center for Responsive Politics']",23fcbc54ba22a6ef389d1cde0ed2e23e,2015-11-05 00:32:14.738724
"Paul Sracic is chair of the Department of Politics and International Relations at Youngstown State University in Ohion and co-author of ""Ohio Government and Politics."" The views expressed are his own.
 (CNN)Commentators were virtually unanimous in their praise of Marco Rubio's performance at last week's Republican debate. In particular, the freshman senator from Florida was lauded for more than holding his own in a testy exchange with his former friend and mentor, Jeb Bush, over his poor voting attendance record in the U.S. Senate. 
But was his evening-defining comeback as smart as many have said?
The key moment came early in the debate, when Bush accused Rubio of shirking his responsibilities to his constituents, suggesting that he ought to resign. Rubio shot back that Bush hadn't been critical of John McCain's 2008 presidential run, which had seen the Arizonan senator missing numerous Senate votes.
On one level, this was a clever response by Rubio (and probably one he had ready in advance -- Bush had telegraphed the attack in interviews before the debate). 
The response allowed the Florida senator to attack Bush for attacking him (in the world of politics this somehow makes sense). And, having established that Bush did not really have a problem with absentee senators, Rubio stated that Bush only brought the issue up because he wanted to score political points. Rubio then pivoted to the high ground, suggesting that he himself is only interested in attacking Democrats.
Yet despite the plaudits, Rubio's response was actually pretty terrible. 
The first and most obvious problem with Rubio's answer is that it was no answer at all. Pointing out that ""everybody else does it"" is more a childish retort than a valid explanation. If the senator worked for a company and his supervisor criticized him for not showing up, would it be sufficient for him to answer that other employees had missed work in the past and no one had said anything?  
Whether he likes it or not, Rubio agreed to be the voice for Florida residents on the floor of the Senate. But keep in mind that Rubio was often absent from the Senate even before he announced that he was running for president. 
For example, in 2014, Rubio missed 36 votes, or about one out of every 10 votes that were taken. In comparison, Rubio's fellow senators on the main debate stage, Ted Cruz and Rand Paul, missed, respectively, 28 votes and 7 votes. 
Even as the campaign has heated up for all the candidates, Rubio's absences have still outstripped those of his colleagues -- Rubio has missed over half of the 76 votes that have occurred since the start of July. In comparison, Ted Cruz has missed just under a quarter of the votes, and Rand Paul about 15% of them.
This should matter to Republican voters, who have been throwing their support behind nontraditional candidates such as Donald Trump and Ben Carson largely out of fatigue with the ""political class."" Those who are in the government are thought to be out of touch with everyday Americans. What better evidence could there be of this that politicians -- and senators being paid $174,000 per year -- can simply decide they are too busy with other things to turn up to work?
Rubio's chronic absence from Senate votes is also directly tied to his biggest weakness as a candidate: his thin and completely political resume. 
Rubio is a career politician -- a ""man in a hurry,"" as one of the moderators prefaced a question on Wednesday -- and so his only real argument for higher office is his brief performance in his current and previous offices. True, Rubio did serve as speaker for the Florida House of Representatives. But this hardly seems adequate training to be the next leader of the free world.  
So Rubio's incomplete Senate term is what we have to judge him on, including all those missed votes. 
Of course, his defenders will note that from 2011 until 2013, Rubio missed only about 5% of votes, but this is still above the median of less than 2% for all senators now serving, and it doesn't change the fact that Rubio missed 36 votes last year, presumably as he geared up to run. In contrast, in 2006, the year before launching her first campaign for president, Hillary Clinton missed only four votes, while her opponent for the nomination, Barack Obama, missed only three votes. 
If Rubio had been in the Senate longer, perhaps 2014 could be dismissed as an anomaly. As it stands, however, it is nearly a quarter of the record that we have for him. It is therefore understandable that other candidates might want to make this an issue during the primaries. 
Next Tuesday, during the next Republican debate, Sen. Rubio's colleagues will have an opportunity to challenge him again. Let's see whether they do a better job of it than Jeb Bush.   
Join us on Facebook.com/CNNOpinion.Read CNNOpinion's new Flipboard magazine. 
",,,Marco Rubio's not-so-clever debate response (Opinion),http://www.cnn.com/2015/11/04/opinions/sracic-marco-rubio-voting-response/index.html,[u'personality'],"[u'Rand Paul', u'Jeb Bush', u'Hillary Clinton', u'Donald Trump', u'Marco Rubio', u'Barack Obama', u'Ben Carson', u'Ted Cruz']",cnn,0.9991071277628983,"[{u'author_id': 25237, u'fullname': u'paul sracic', u'primary_org': u'cnn'}]",2015-11-04 22:07:20,"[u'Senate', u'Florida House of Representatives']",7c36a992f22c5f963331ae2816d2d6ac,2015-11-04 22:24:39.772046
"Donald J. Trump has mockingly accused Sheldon Adelson, a casino developer and one of the biggest Republican megadonors, of wanting a “puppet” to back when it was reported that Mr. Adelson was considering throwing his support to Senator Marco Rubio. 

But Mr. Trump, many weeks ago, called Mr. Adelson to talk about the state of the race, according to a person told of the discussion, who asked not to be identified because he was not authorized to characterize the conversation publicly. 

Mr. Adelson has told associates in the weeks since that conversation, which took place over the summer, according to the person briefed, that he considered the outreach an effort by Mr. Trump to secure his support. 

Mr. Trump’s campaign manager, Corey Lewandowski, said he could neither confirm nor deny any private conversations that Mr. Trump might have had. A spokesman for Mr. Adelson did not respond to requests for comment. 

During the conversation, the person briefed on the discussion said, Mr. Adelson told Mr. Trump that his most important issue when considering a candidate is the safety of Israel. Mr. Trump then emphasized his personal and family ties to the Jewish community in New York.

Mr. Adelson could be a troublesome foe for Mr. Trump, or anyone, should he line up behind a rival candidate. He spent more than $20 million backing the former House Speaker Newt Gingrich’s presidential bid in 2012. 

But when a report in Politico late last month indicated that Mr. Adelson was leaning toward Mr. Rubio, Mr. Trump took to Twitter, his preferred medium, and wrote: “Sheldon Adelson is looking to give big dollars to Rubio because he feels he can mold him into his perfect little puppet. I agree!” 

Mr. Adelson remains uncommitted to a  candidate, and people with whom he has spoken recently say he is not immediately planning on an endorsement. But Mr. Adelson is known as being  mercurial about his political leanings.",MAGGIE HABERMAN,"This summer, Mr. Trump called Mr. Adelson, who spent more than $20 million backing Newt Gingrich’s presidential campaign in 2012, to talk about the state of the race, according to a person told of the discussion.",First Draft: Donald Trump Is Said to Have Reached Out to the Megadonor Sheldon Adelson,http://www.nytimes.com/politics/first-draft/2015/11/04/donald-trump-is-said-to-have-reached-out-to-the-megadonor-sheldon-adelson/,"[u'immigration', u'personality', u'foreign policy/national security']","[u'Corey Lewandowski', u'Sheldon Adelson', u'Donald Trump', u'Marco Rubio', u'Donald J. Trump', u'Newt Gingrich']",nyt,0.9553709224088421,"[{u'author_id': 7421, u'fullname': u'maggie haberman', u'primary_org': u'nyt'}]",2015-11-04 23:58:52,[],770239457d4abd291c512b9679170fe7,2015-11-05 00:37:34.891564
